n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars
7462,False,2.3648474140870963,4.004607984500197,0.6717902919769171,0.5490485124631466,0.4509514875368534,34.65503131757493,-36.949531026504175,35.68973937446944,-78.83517003464786,75.74124806911853,2.7810302761896266,0.005432261516072721,MNQ,discovery,0.95,20
4248,False,2.485634443205973,4.413878523917836,0.6717902919769171,0.5484934086629002,0.4515065913370998,37.53332295130565,-40.090546069761835,38.687926044808236,-84.2449080962187,82.74700568523215,2.0838843151961846,0.03723032827095692,MNQ,discovery,0.975,20
37480,False,2.9982999706696023,5.102170881101653,1.3440923741333435,0.5555763073639274,0.44442369263607256,39.72325821538387,-42.91175619368684,41.140302260863926,-91.0419485958403,87.09589656856083,4.695807191865862,2.664953566547288e-06,MNQ,discovery,0.7,40
31483,False,2.824200916335703,5.325868859769045,1.3440923741333435,0.5553473303052441,0.4446526696947559,40.533726517029976,-44.272973567737345,42.196392700775256,-93.04278414960199,88.0915075625269,3.778579183679432,0.00015801618357007337,MNQ,discovery,0.75,40
25743,False,3.022094516581751,5.5247444805672785,1.3440923741333435,0.554597366274327,0.445402633725673,41.729071190591775,-45.17426916515915,43.26357144217043,-94.50217908925805,89.45184565447167,3.7915048045198594,0.00015007892727876757,MNQ,discovery,0.8,40
19749,False,3.7166868966952107,5.291889483065582,1.3440923741333435,0.548989822269482,0.451010177730518,43.67795562249882,-44.9259622023463,44.240819291884684,-95.10952304964081,91.7973129915927,4.6301523833604525,3.677234437691819e-06,MNQ,discovery,0.85,40
13850,False,5.067351349296461,5.806543537255626,1.3440923741333435,0.5513357400722022,0.44866425992779785,46.04844771276064,-45.29178154922502,45.70895864848552,-96.06443377430567,96.10967874865416,5.9224137460164865,3.2476822642848856e-09,MNQ,discovery,0.9,40
7462,False,6.8493900936507295,6.160820523123389,1.3440923741333435,0.5525328330206379,0.4474671669793621,49.44289961440107,-45.74511118039948,47.78826069974934,-96.2792687591017,103.20670683592043,6.365960870462613,2.0555950803771162e-10,MNQ,discovery,0.95,40
4248,False,8.49901665825617,7.441586598789796,1.3440923741333435,0.5588512241054614,0.4411487758945386,50.913390617251196,-45.23189250858171,48.407004681364505,-93.62286096699296,110.89496772456417,6.696355355725845,2.4158577018743337e-11,MNQ,discovery,0.975,40
37480,False,4.289907310258393,6.768831289455379,2.0185000232567627,0.5664887940234792,0.4335112059765208,46.95008220945714,-51.45608194748337,48.90348359001878,-106.71393761044095,100.71490341507021,5.334405424096566,9.641310624821682e-08,MNQ,discovery,0.7,60
31483,False,4.329454120286797,7.215291169795357,2.0185000232567627,0.5675761522091287,0.4324238477908713,47.97365278609758,-52.955560273673306,50.12794839121322,-108.36019158796783,102.99088428736853,4.869247465951673,1.1256668690260438e-06,MNQ,discovery,0.75,60
25743,False,4.1532529280115895,7.543302828025844,2.0185000232567627,0.5663287107174766,0.4336712892825234,48.657482967462165,-53.964551599500936,50.95900626342926,-110.72270317504551,104.56470369288112,4.050697670891155,5.1214771050836245e-05,MNQ,discovery,0.8,60
