date,open,high,low,close,volume,instrument_id
2015-10-16,4421.0,4439.0,4396.0,4438.75,201654,12809
2015-10-18,4434.5,4438.25,4430.5,4431.25,1301,12809
2015-10-19,4431.25,4455.5,4411.0,4451.25,199475,12809
2015-10-20,4450.0,4456.0,4414.0,4421.5,199110,12809
2015-10-21,4422.0,4456.25,4394.75,4404.5,287339,12809
2015-10-22,4404.75,4586.0,4404.25,4576.5,349164,12809
2015-10-23,4577.0,4637.5,4564.75,4610.75,348486,12809
2015-10-25,4614.0,4614.0,4606.5,4608.5,1635,12809
2015-10-26,4608.5,4630.0,4592.75,4617.25,182438,12809
2015-10-27,4617.0,4651.75,4601.25,4631.0,213328,12809
2015-10-28,4631.0,4678.25,4600.5,4665.25,299949,12809
2015-10-29,4666.0,4670.25,4642.75,4667.0,183504,12809
2015-10-30,4667.25,4690.25,4636.0,4645.0,208365,12809
2015-11-01,4644.5,4644.5,4631.5,4634.0,2871,12809
2015-11-02,4634.0,4699.5,4625.0,4689.25,160104,12809
2015-11-03,4692.5,4727.5,4677.0,4712.75,186187,12809
2015-11-04,4710.5,4729.75,4691.25,4711.25,229719,12809
2015-11-05,4706.0,4727.5,4673.75,4699.5,239871,12809
2015-11-06,4695.0,4708.75,4658.75,4703.0,275208,12809
2015-11-08,4701.25,4702.5,4696.25,4702.0,1288,12809
2015-11-09,4702.0,4712.75,4622.0,4649.0,250511,12809
2015-11-10,4647.25,4662.25,4612.5,4637.5,228661,12809
2015-11-11,4637.5,4674.75,4625.25,4632.0,221695,12809
2015-11-12,4631.5,4653.25,4576.5,4583.25,265379,12809
2015-11-13,4586.25,4590.5,4485.75,4489.0,337232,12809
2015-11-15,4478.25,4478.25,4455.0,4470.5,4699,12809
2015-11-16,4470.0,4565.5,4470.0,4562.5,278082,12809
2015-11-17,4559.5,4597.75,4552.0,4569.5,268329,12809
2015-11-18,4565.25,4657.5,4556.25,4656.75,241849,12809
2015-11-19,4656.0,4677.0,4646.75,4660.25,211568,12809
2015-11-20,4655.0,4691.5,4652.5,4690.0,176156,12809
2015-11-22,4689.5,4697.5,4688.0,4695.0,925,12809
2015-11-23,4694.25,4706.75,4653.75,4678.75,161786,12809
